no	symbol	r	g	b	formationAge_ja	formationAge_en	group_ja	group_en	lithology_ja	lithology_en	type
102	Pg1_sbs	248	223	35	新生代 古第三紀 暁新世 ダニアン期～始新世 ヤプレシアン期	Cenozoic Paleogene Paleocene Danian - Eocene Ypresian	堆積岩	Sedimentary rocks	汽水成層ないし海成・非海成混合層 砂岩，砂岩泥岩互層ないし砂岩・泥岩	"brackish, or marine & non-marine  mixture sandstone, alternation of sandstone & mudstone or sandstone & mudstone "	3
103	K22_sbss	255	255	63	中生代 後期白亜紀 カンパニアン期～マーストリヒチアン期	Mesozoic Late Cretaceous Campanian - Maastrichtian	堆積岩	Sedimentary rocks	汽水成層ないし海成・非海成混合層 砂岩	"brackish, or marine & non-marine  mixture sandstone"	3
104	K21_sbss	252	251	59	中生代 後期白亜紀 セノマニアン期～サントニアン期	Mesozoic Late Cretaceous Cenomanian - Santonian	堆積岩	Sedimentary rocks	汽水成層ないし海成・非海成混合層 砂岩	"brackish, or marine & non-marine  mixture sandstone"	3
105	K12_sbss	249	247	55	中生代 前期白亜紀 アプチアン期～アルビアン期	Mesozoic Early Cretaceous Aptian - Albian	堆積岩	Sedimentary rocks	汽水成層ないし海成・非海成混合層 砂岩	"brackish, or marine & non-marine  mixture sandstone"	3
106	K11_sbss	246	243	51	中生代 前期白亜紀 ベリアシアン期～バレミアン期	Mesozoic Early Cretaceous Berriasian - Barremian	堆積岩	Sedimentary rocks	汽水成層ないし海成・非海成混合層 砂岩	"brackish, or marine & non-marine  mixture sandstone"	3
107	J3_sbss	243	239	47	中生代 後期ジュラ紀	Mesozoic Late Jurassic	堆積岩	Sedimentary rocks	汽水成層ないし海成・非海成混合層 砂岩	"brackish, or marine & non-marine  mixture sandstone"	3
108	J2_sbss	240	235	43	中生代 中期ジュラ紀	Mesozoic Jurassic Middle	堆積岩	Sedimentary rocks	汽水成層ないし海成・非海成混合層 砂岩	"brackish, or marine & non-marine  mixture sandstone"	3
109	J1_sbss	237	231	39	中生代 前期ジュラ紀	Mesozoic Jurassic Early	堆積岩	Sedimentary rocks	汽水成層ないし海成・非海成混合層 砂岩	"brackish, or marine & non-marine  mixture sandstone"	3
110	Tr22-3_sbss	234	227	35	中生代 後期三畳紀 ラディニアン期～後期三畳紀	Mesozoic Late Triassic Ladinian - Late Triassic	堆積岩	Sedimentary rocks	汽水成層ないし海成・非海成混合層 砂岩	"brackish, or marine & non-marine  mixture sandstone"	3
111	Tr1-21_sbss	231	223	31	中生代 前期三畳紀～後期三畳紀 アニシアン期	Mesozoic Early Triassic - Late Triassic Anisian	堆積岩	Sedimentary rocks	汽水成層ないし海成・非海成混合層 砂岩	"brackish, or marine & non-marine  mixture sandstone"	3
